"id";"mark";"year";"period_of_production";"model";"version";"energy";"url_photo";"category";"color";"color_name";"maker";"material_number";"date_of_purchase";"price";"currency";"dealer";"scale";"comment"
151;"BMW";2003;"2003-2010";"6 Coup̩ (E63)";"2";"Thermique";"bmw_6_coupe_2004.jpg";"F";"Blue";"Mystic Blue";"Kyosho";"80 42 0 153 280";"2004-07-09";25.0;"EUR";"Boutique BMW, Munich Airport";"43";""
152;"BMW";2003;"2003-2010";"545i (E60)";"5";"Thermique";"bmw_545i_e60.jpg";"E";"Silver";"Silbergrau";"Kyosho";"80 42 0 153 195";"2004-07-09";25.0;"EUR";"Boutique BMW, Munich Airport";"43";""
153;"BMW";2002;"2002-2008";"Z4 (E85)";"1";"Thermique";"bmw_z4.jpg";"GT";"Grey";"Sterling grey metallic";"Minichamps";"80 42 0 144 053";"2004-08-11";25.0;"EUR";"Boutique BMW, Munich Airport";"43";""
154;"MINI";2005;"2005-2008";"Cooper Cabrio";"1";"Thermique";"mini_cooper_cabrio.jpg";"B";"Orange";"Hot Orange";"Minichamps";"80 42 0 309 090";"2004-09-11";42.0;"EUR";"Miniatures Lyon";"43";""
155;"Chrysler";2003;"2000-2007";"PT Cruiser GT";"1";"Thermique";"chrysler_gt_cruiser.jpg";"A";"Silver";"Bright Silver";"Auto Art";"51521";"2004-09-11";39.0;"EUR";"Miniatures Lyon";"43";""
156;"Renault";2004;"2004-2012";"Modus 1,5 dCi Privil̬ge";"1";"Thermique";"renault_modus_b76.jpg";"B";"Red";"Rouge de Feu (B76)";"Norev";"77 11 227 755";"2004-09-30";23.0;"EUR";"Renault Ambroise Par̩";"43";""
157;"Renault";2004;"2004-2012";"Modus 1,5 dCi Privil̬ge";"1";"Thermique";"renault_modus_j42.jpg";"B";"Blue";"Bleu Menthe (J42)";"Norev";"77 11 227 754";"2004-09-30";23.0;"EUR";"Renault Ambroise Par̩";"43";""
158;"Peugeot";2003;"2003-2010";"407 SW";"1";"Thermique";"peugeot_407sw.jpg";"D";"Black";"Noir Obsidien";"Norev";"9665.Z5";"2004-10-14";29.0;"EUR";"Garage Peugeot Transvaal";"43";""
159;"Peugeot";2003;"2003-2010";"407";"1";"Thermique";"peugeot_407.jpg";"D";"Red";"Rouge Lucifer";"Norev";"9665.Z4";"2005-01-04";29.0;"EUR";"Garage Peugeot Transvaal";"43";""
160;"Peugeot";2005;"2005-2009";"1007";"1";"Thermique";"peugeot_1007.jpg";"B+";"Yellow";"Jaune Tacoma";"Norev";"9658.EV";"2005-01-04";29.0;"EUR";"Garage Peugeot Transvaal";"43";""
